X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.919925013039,39.6709634065625,"1","32","09","03","0","1320903138","138",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_138.pdf,AC,2022/02/02,AC,2025/10/20,427,2025/10/20,0.02276026221,0.00002893291
-104.794764541573,39.6708626057251,"6","29","41","03","0","6294103451","451",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_451.pdf,AC,2022/02/02,AC,2025/10/20,681,2025/10/20,0.02915170823,0.00004427783
-104.819050167158,39.6614637923342,"6","29","41","03","0","6294103444","444",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_444.pdf,AC,2022/02/02,AC,2025/10/20,719,2025/10/20,0.08694664033,0.00026200495
-104.899726804507,39.6692460637753,"6","26","09","03","0","6260903405","405",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_405.pdf,AC,2022/02/02,AC,2025/10/20,766,2025/10/20,0.02383522360,0.00002713489
-104.856793034781,39.6639521074477,"6","29","41","03","0","6294103423","423",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_423.pdf,AC,2022/02/02,AC,2025/10/20,1468,2025/10/20,0.05873181950,0.00014990871
-104.756890439116,39.6597095118241,"6","28","40","03","0","6284003315","315",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_315.pdf,AC,2022/02/02,AC,2025/10/20,1674,2025/10/20,0.04733205797,0.00007273533
-104.780955614376,39.6631791628849,"6","29","40","03","0","6294003454","454",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_454.pdf,AC,2022/02/02,AC,2025/10/20,939,2025/10/20,0.03235823531,0.00004541270
-104.786862087833,39.6630809610647,"6","29","40","03","0","6294003453","453",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_453.pdf,AC,2022/02/02,AC,2025/10/20,943,2025/10/20,0.03506062519,0.00006251511
-104.796204724721,39.6642004625101,"6","29","41","03","0","6294103468","468",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_468.pdf,AC,2022/02/02,AC,2025/10/20,943,2025/10/20,0.03552119144,0.00007227222
-104.804952715021,39.6630518837622,"6","29","41","03","0","6294103467","467",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_467.pdf,AC,2022/02/02,AC,2025/10/20,991,2025/10/20,0.03386783409,0.00006730619
-104.823909625379,39.6661292385991,"6","29","41","03","0","6294103440","440",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_440.pdf,AC,2022/02/02,AC,2025/10/20,846,2025/10/20,0.02976860458,0.00002725349
-104.834312171146,39.6614591619475,"6","29","41","03","0","6294103442","442",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_442.pdf,AC,2022/02/02,AC,2025/10/20,764,2025/10/20,0.04297413151,0.00005546847
-104.83559333159,39.6654301378092,"6","29","41","03","0","6294103426","426",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_426.pdf,AC,2022/02/02,AC,2025/10/20,780,2025/10/20,0.02506960931,0.00003444580
